lon;lat
77.426249;18.355959
77.426249;18.398584
77.426249;18.441199
77.426249;18.483803
77.426249;18.526396
77.426249;18.568979
77.471165;18.355959
77.471165;18.398584
77.471165;18.441199
77.471165;18.483803
77.471165;18.526396
77.471165;18.568979
77.516081;18.355959
77.516081;18.398584
77.516081;18.441199
77.516081;18.483803
77.516081;18.526396
77.516081;18.568979
77.560996;18.355959
77.560996;18.398584
77.560996;18.441199
77.560996;18.483803
77.560996;18.526396
77.560996;18.568979
77.605912;18.355959
77.605912;18.398584
77.605912;18.441199
77.605912;18.483803
77.605912;18.526396
77.605912;18.568979
77.650828;18.355959
77.650828;18.398584
77.650828;18.441199
77.650828;18.483803
77.650828;18.526396
77.650828;18.568979
77.695744;18.355959
77.695744;18.398584
77.695744;18.441199
77.695744;18.483803
77.695744;18.526396
77.695744;18.568979
77.740659;18.355959
77.740659;18.398584
77.740659;18.441199
77.740659;18.483803
77.740659;18.526396
77.740659;18.568979
77.785575;18.355959
77.785575;18.398584
77.785575;18.441199
77.785575;18.483803
77.785575;18.526396
77.785575;18.568979
77.830491;18.355959
77.830491;18.398584
77.830491;18.441199
77.830491;18.483803
77.830491;18.526396
77.830491;18.568979
77.875407;18.355959
77.875407;18.398584
77.875407;18.441199
77.875407;18.483803
77.875407;18.526396
77.875407;18.568979
77.920322;18.355959
77.920322;18.398584
77.920322;18.441199
77.920322;18.483803
77.920322;18.526396
77.920322;18.568979
77.965238;18.355959
77.965238;18.398584
77.965238;18.441199
77.965238;18.483803
77.965238;18.526396
77.965238;18.568979
78.010154;18.355959
78.010154;18.398584
78.010154;18.441199
78.010154;18.483803
78.010154;18.526396
78.010154;18.568979
78.055070;18.355959
78.055070;18.398584
78.055070;18.441199
78.055070;18.483803
78.055070;18.526396
78.055070;18.568979
78.099985;18.355959
78.099985;18.398584
78.099985;18.441199
78.099985;18.483803
78.099985;18.526396
78.099985;18.568979
78.144901;18.355959
78.144901;18.398584
78.144901;18.441199
78.144901;18.483803
78.144901;18.526396
78.144901;18.568979
78.189817;18.355959
78.189817;18.398584
78.189817;18.441199
78.189817;18.483803
78.189817;18.526396
78.189817;18.568979
78.234733;18.355959
78.234733;18.398584
78.234733;18.441199
78.234733;18.483803
78.234733;18.526396
78.234733;18.568979
78.279649;18.355959
78.279649;18.398584
78.279649;18.441199
78.279649;18.483803
78.279649;18.526396
78.279649;18.568979
78.324564;18.355959
78.324564;18.398584
78.324564;18.441199
78.324564;18.483803
78.324564;18.526396
78.324564;18.568979
78.369480;18.355959
78.369480;18.398584
78.369480;18.441199
78.369480;18.483803
78.369480;18.526396
78.369480;18.568979
78.414396;18.355959
78.414396;18.398584
78.414396;18.441199
78.414396;18.483803
78.414396;18.526396
78.414396;18.568979
78.459312;18.355959
78.459312;18.398584
78.459312;18.441199
78.459312;18.483803
78.459312;18.526396
78.459312;18.568979
78.504227;18.355959
78.504227;18.398584
78.504227;18.441199
78.504227;18.483803
78.504227;18.526396
78.504227;18.568979
78.549143;18.355959
78.549143;18.398584
78.549143;18.441199
78.549143;18.483803
